Sepal Length,Sepal Width,Petal Length,Petal Width
5.8,2.8,5.1,2.4
6,2.2,4,1
5.5,4.2,1.4,0.2
7.3,2.9,6.3,1.8
5,3.4,1.5,0.2
6.3,3.3,6,2.5
5,3.5,1.3,0.3
6.7,3.1,4.7,1.5
6.8,2.8,4.8,1.4
6.1,2.8,4,1.3
6.1,2.6,5.6,1.4
6.4,3.2,4.5,1.5
6.1,2.8,4.7,1.2
6.5,2.8,4.6,1.5
6.1,2.9,4.7,1.4
4.9,3.6,1.4,0.1
6,2.9,4.5,1.5
5.5,2.6,4.4,1.2
4.8,3,1.4,0.3
5.4,3.9,1.3,0.4
5.6,2.8,4.9,2
5.6,3,4.5,1.5
4.8,3.4,1.9,0.2
4.4,2.9,1.4,0.2
6.2,2.8,4.8,1.8
4.6,3.6,1,0.2
5.1,3.8,1.9,0.4
6.2,2.9,4.3,1.3
5,2.3,3.3,1
5,3.4,1.6,0.4
6.4,3.1,5.5,1.8
5.4,3,4.5,1.5
5.2,3.5,1.5,0.2
6.1,3,4.9,1.8
6.4,2.8,5.6,2.2
5.2,2.7,3.9,1.4
5.7,3.8,1.7,0.3
6,2.7,5.1,1.6
